date,n,top5
2020-02-03,69,"[{'id': '2330', 'w': 0.6691, 'roic': 20.3}, {'id': '3008', 'w': 0.0464, 'roic': 24.3}, {'id': '2308', 'w': 0.0295, 'roic': 15.5}, {'id': '1216', 'w': 0.0295, 'roic': 17.8}, {'id': '2207', 'w': 0.0255, 'roic': 22.6}]"
2020-03-02,63,"[{'id': '2330', 'w': 0.6995, 'roic': 20.4}, {'id': '3008', 'w': 0.0458, 'roic': 24.2}, {'id': '1216', 'w': 0.0304, 'roic': 17.1}, {'id': '2207', 'w': 0.0261, 'roic': 23.6}, {'id': '6488', 'w': 0.0142, 'roic': 30.8}]"
2020-04-01,63,"[{'id': '2330', 'w': 0.7047, 'roic': 20.4}, {'id': '3008', 'w': 0.045, 'roic': 24.2}, {'id': '1216', 'w': 0.0318, 'roic': 17.1}, {'id': '2207', 'w': 0.0236, 'roic': 23.6}, {'id': '2395', 'w': 0.0135, 'roic': 24.0}]"
2020-05-04,63,"[{'id': '2330', 'w': 0.698, 'roic': 20.4}, {'id': '3008', 'w': 0.0422, 'roic': 24.2}, {'id': '1216', 'w': 0.0304, 'roic': 17.1}, {'id': '2207', 'w': 0.0233, 'roic': 23.6}, {'id': '6488', 'w': 0.0137, 'roic': 30.8}]"
2020-06-01,61,"[{'id': '2330', 'w': 0.6901, 'roic': 22.9}, {'id': '3008', 'w': 0.0437, 'roic': 24.3}, {'id': '1216', 'w': 0.0323, 'roic': 16.5}, {'id': '2207', 'w': 0.0244, 'roic': 25.2}, {'id': '2395', 'w': 0.0146, 'roic': 23.7}]"
2020-07-01,61,"[{'id': '2330', 'w': 0.6894, 'roic': 22.9}, {'id': '3008', 'w': 0.0417, 'roic': 24.3}, {'id': '1216', 'w': 0.0289, 'roic': 16.5}, {'id': '2207', 'w': 0.0287, 'roic': 25.2}, {'id': '2395', 'w': 0.0138, 'roic': 23.7}]"
2020-08-03,61,"[{'id': '2330', 'w': 0.739, 'roic': 22.9}, {'id': '3008', 'w': 0.0309, 'roic': 24.3}, {'id': '1216', 'w': 0.0232, 'roic': 16.5}, {'id': '2207', 'w': 0.0222, 'roic': 25.2}, {'id': '2395', 'w': 0.013, 'roic': 23.7}]"
2020-09-01,69,"[{'id': '2330', 'w': 0.7403, 'roic': 26.8}, {'id': '3008', 'w': 0.028, 'roic': 23.9}, {'id': '1216', 'w': 0.0218, 'roic': 17.6}, {'id': '2207', 'w': 0.0201, 'roic': 26.1}, {'id': '2395', 'w': 0.0122, 'roic': 25.4}]"
2020-10-05,69,"[{'id': '2330', 'w': 0.7455, 'roic': 26.8}, {'id': '3008', 'w': 0.0263, 'roic': 23.9}, {'id': '2207', 'w': 0.0213, 'roic': 26.1}, {'id': '1216', 'w': 0.0208, 'roic': 17.6}, {'id': '2395', 'w': 0.0128, 'roic': 25.4}]"
2020-11-02,69,"[{'id': '2330', 'w': 0.75, 'roic': 26.8}, {'id': '3008', 'w': 0.0242, 'roic': 23.9}, {'id': '2207', 'w': 0.0205, 'roic': 26.1}, {'id': '1216', 'w': 0.0203, 'roic': 17.6}, {'id': '2395', 'w': 0.0128, 'roic': 25.4}]"
2020-12-01,68,"[{'id': '2330', 'w': 0.7486, 'roic': 27.1}, {'id': '3008', 'w': 0.0237, 'roic': 20.3}, {'id': '1216', 'w': 0.0194, 'roic': 18.5}, {'id': '2207', 'w': 0.0191, 'roic': 26.2}, {'id': '6488', 'w': 0.015, 'roic': 29.2}]"
2021-01-04,68,"[{'id': '2330', 'w': 0.7578, 'roic': 27.1}, {'id': '3008', 'w': 0.0219, 'roic': 20.3}, {'id': '1216', 'w': 0.0183, 'roic': 18.5}, {'id': '2207', 'w': 0.0175, 'roic': 26.2}, {'id': '6488', 'w': 0.0162, 'roic': 29.2}]"
