variant,cagr,max_dd,sharpe,calmar,vol,avg_n,avg_max_w,avg_invested,ir
L_top20_halfcash_ma200,45.66,-30.81,1.63,1.48,26.04,20.0,5.0,91.7,0.68
K_roic_mom_top20,46.34,-34.67,1.49,1.34,29.35,20.0,5.0,100.0,0.68
I_roic_mom_score_top40,34.94,-33.82,1.34,1.03,25.68,40.0,2.5,100.0,0.29
C_equal_weight,30.51,-32.19,1.31,0.95,23.15,84.6,1.2,100.0,0.06
H_quality_value_eq,29.02,-30.82,1.36,0.94,21.13,42.1,2.5,100.0,-0.05
D_mom_filter_cap10,31.08,-32.92,1.22,0.94,25.69,61.1,10.0,100.0,0.14
A_baseline_cap,35.79,-39.0,1.31,0.92,26.95,84.6,65.7,100.0,0.72
J_combo_stable_mom_cap10,32.51,-35.8,1.25,0.91,26.06,43.4,10.0,100.0,0.23
E_trend_ma200_cap10,29.51,-33.92,1.17,0.87,25.65,56.0,10.0,100.0,0.05
B_cap_max10,28.25,-34.54,1.15,0.82,25.15,84.6,10.0,100.0,-0.04
G_roic_stable_cap10,28.01,-34.45,1.14,0.81,25.2,62.9,10.0,100.0,-0.06
F_ex_cyclical_cap10,28.34,-35.88,1.14,0.79,25.52,79.7,10.0,100.0,-0.03
