stock_id,name,industry,market_cap,price,capital
2330,台積電,半導體業,62497011941000.0,2410.0,259323701000.0
2454,聯發科,半導體業,6078763566000.0,3790.0,16038954000.0
2308,台達電,電子工業,4545700775000.0,1750.0,25975433000.0
2317,鴻海,其他電子業,3444033231300.0,245.5,140286486000.0
3711,日月光投控,半導體業,2618509029700.0,587.0,44608331000.0
2383,台光電,電子工業,2035263848000.0,5680.0,3583211000.0
2881,富邦金,金融保險,1876986896600.0,134.0,140073649000.0
2408,南亞科,半導體業,1821708715200.0,528.0,34502059000.0
3037,欣興,電子工業,1726585021000.0,1085.0,15913226000.0
1303,南亞,塑膠工業,1522717747200.0,192.0,79308216000.0
2882,國泰金,金融保險,1474255625100.0,100.5,146692102000.0
2303,聯電,半導體業,1465218740850.0,116.5,125769849000.0
2891,中信金,金融保險,1278998396000.0,65.0,196768984000.0
2059,川湖,電子工業,1275551683500.0,13385.0,952971000.0
2382,廣達,電子工業,1241834709100.0,321.5,38626274000.0
6669,緯穎,電子工業,1168789284000.0,6255.0,1868568000.0
7769,鴻勁,半導體業,1152451650000.0,6405.0,1799300000.0
2345,智邦,通信網路業,1141874926500.0,2035.0,5611179000.0
3017,奇鋐,電子工業,1124635695000.0,2865.0,3925430000.0
2412,中華電,通信網路業,1058891447250.0,136.5,77574465000.0
2887,台新新光金,金融保險,926273370200.0,37.25,248663992000.0
2360,致茂,其他電子業,893015970000.0,2100.0,4252457000.0
2885,元大金,金融保險,853193593600.0,64.0,133311499000.0
2344,華邦電,半導體業,814500036200.0,181.0,45000002000.0
3653,健策,電子工業,791623456000.0,5395.0,1467328000.0
3443,創意,半導體業,750466640000.0,5600.0,1340119000.0
3008,大立光,光電業,733777902000.0,5610.0,1307982000.0
8046,南電,電子工業,733397842500.0,1135.0,6461655000.0
6505,台塑化,油電燃氣業,722067745260.0,75.8,95259597000.0
2886,兆豐金,金融保險,696427111185.0,46.95,148333783000.0
2357,華碩,電子工業,684082236300.0,921.0,7427603000.0
2884,玉山金,金融保險,615296000000.0,38.0,161920000000.0
2301,光寶科,電腦及週邊設備業,604504135800.0,261.0,23161078000.0
2890,永豐金,金融保險,573895963080.0,39.6,144923223000.0
2395,研華,電子工業,563497170500.0,649.0,8682545000.0
3231,緯創,電子工業,558099178650.0,175.5,31800523000.0
2880,華南金,金融保險,551111817960.0,39.6,139169651000.0
2603,長榮,航運業,544508314500.0,251.5,21650430000.0
2883,凱基金,金融保險,535556422850.0,31.55,169748470000.0
6446,藥華藥,生技醫療業,534248960000.0,1400.0,3816064000.0
2368,金像電,電子零組件業,498950355000.0,965.0,5170470000.0
4958,臻鼎-KY,電子工業,489019475700.0,441.0,11088877000.0
2892,第一金,金融保險,483869118390.0,33.65,143794686000.0
3665,貿聯-KY,其他電子業,443803360000.0,2275.0,1950784000.0
1216,統一,食品工業,440356193500.0,77.5,56820154000.0
3045,台灣大,通信網路業,428175107000.0,115.0,37232618000.0
3189,景碩,半導體業,427324334400.0,811.0,5269104000.0
5880,合庫金,金融保險,392807469345.0,25.05,156809369000.0
1301,台塑,塑膠工業,378125003520.0,59.4,63657408000.0
4904,遠傳,通信網路業,369789803500.0,102.5,36077054000.0
2379,瑞昱,半導體業,368075996400.0,714.0,5155126000.0
3481,群創,光電業,367902540270.0,46.05,79891974000.0
1326,台化,塑膠工業,352257296630.0,60.1,58611863000.0
2615,萬海,航運業,349365226800.0,124.5,28061464000.0
3034,聯詠,半導體業,322511095000.0,530.0,6085115000.0
6770,力積電,半導體業,322284356640.0,68.4,47117596000.0
3661,世芯-KY,半導體業,318957390000.0,3700.0,862047000.0
2002,中鋼,鋼鐵工業,306043046450.0,19.45,157348610000.0
2207,和泰車,汽車工業,288579250400.0,518.0,5571028000.0
1590,亞德客-KY,電機機械,287000000000.0,1435.0,2000000000.0
2327,國巨*,電子工業,285134215800.0,554.0,5146827000.0
2449,京元電子,半導體業,283676863200.0,232.0,12227451000.0
2801,彰銀,金融保險,283561713420.0,24.1,117660462000.0
3036,文曄,電子工業,261444549800.0,206.0,12691483000.0
2313,華通,電子工業,254453698100.0,213.5,11918206000.0
2337,旺宏,半導體業,242710328000.0,122.5,19813088000.0
3044,健鼎,電子零組件業,241253108100.0,459.0,5256059000.0
4938,和碩,電子工業,237080504920.0,88.6,26758522000.0
2356,英業達,電子工業,235697114070.0,65.7,35874751000.0
6515,穎崴,半導體業,233246720000.0,6400.0,364448000.0
2912,統一超,貿易百貨,232355584050.0,223.5,10396223000.0
2618,長榮航,航運業,230058927180.0,42.6,54004443000.0
1519,華城,電機機械,228381818400.0,723.0,3158808000.0
2376,技嘉,電子工業,227427281550.0,339.5,6698889000.0
2609,陽明,航運業,223494675200.0,64.0,34921043000.0
5876,上海商銀,金融保險,214639776865.0,44.15,48616031000.0
6239,力成,半導體業,203071715500.0,267.5,7591466000.0
2404,漢唐,其他電子業,202021902000.0,1060.0,1905867000.0
5871,中租-KY,其他,197669137050.0,115.5,17114211000.0
2409,友達,光電業,193205734400.0,25.6,75470990000.0
3702,大聯大,電子工業,191859060000.0,111.0,17284600000.0
1101,台泥,水泥工業,186951065245.0,24.85,75231817000.0
6213,聯茂,電子工業,186507408600.0,513.0,3635622000.0
6139,亞翔,其他電子業,179508683400.0,762.0,2355757000.0
3533,嘉澤,電子工業,179492846500.0,1595.0,1125347000.0
2324,仁寶,電子工業,171658360070.0,38.95,44071466000.0
1504,東元,電機機械,171341374470.0,72.1,23764407000.0
1802,台玻,玻璃陶瓷,167504302080.0,57.6,29080608000.0
1605,華新,電器電纜,165288717170.0,37.3,44313329000.0
1402,遠東新,紡織纖維,162459759285.0,30.35,53528751000.0
2834,臺企銀,金融保險,160833922790.0,16.55,97180618000.0
7750,新代,電機機械,159132245000.0,2215.0,718430000.0
2347,聯強,電子工業,145945362500.0,87.5,16679470000.0
6789,采鈺,半導體業,134958818400.0,424.0,3182991000.0
2451,創見,半導體業,134795531250.0,312.5,4313457000.0
3532,台勝科,半導體業,132838042750.0,342.5,3878483000.0
2027,大成鋼,鋼鐵工業,129988308180.0,50.3,25842606000.0
2492,華新科,電子工業,129064476800.0,266.0,4852048000.0
2610,華航,航運業,125357767439.99998,20.4,61449886000.0
1102,亞泥,水泥工業,123952373355.00002,34.95,35465629000.0
2049,上銀,電機機械,123473512700.0,349.0,3537923000.0
6442,光聖,通信網路業,122686555000.0,1525.0,804502000.0
6805,富世達,電子工業,120997633500.0,1765.0,685539000.0
2377,微星,電子工業,119547152300.0,141.5,8448562000.0
3706,神達,電子工業,119449125000.0,90.0,13272125000.0
8210,勤誠,電子工業,118301324800.0,944.0,1253192000.0
6285,啟碁,通信網路業,113902801350.0,235.5,4836637000.0
2812,台中銀,金融保險,113507646330.00002,18.85,60216258000.0
2474,可成,其他電子業,109650093850.0,203.5,5388211000.0
8464,億豐,其他,108857004300.0,371.5,2930202000.0
6196,帆宣,其他電子業,108071619750.0,490.5,2203295000.0
3026,禾伸堂,電子工業,106003901700.0,639.0,1658903000.0
1503,士電,電機機械,105236384400.0,202.0,5209722000.0
2542,興富發,建材營造,105070474800.0,48.8,21530835000.0
5269,祥碩,半導體業,104931730500.0,1415.0,741567000.0
2105,正新,橡膠工業,102266659025.0,31.55,32414155000.0
1560,中砂,電機機械,102046570500.0,679.0,1502895000.0
8996,高力,電機機械,101916635000.0,1090.0,935015000.0
5434,崇越,電子工業,99526104000.0,513.0,1940080000.0
6257,矽格,電子工業,96056591550.0,198.5,4839123000.0
6526,達發,半導體業,95813203200.0,572.0,1675056000.0
2353,宏碁,電子工業,93569111660.0,30.7,30478538000.0
2467,志聖,電子工業,90447672000.0,560.0,1615137000.0
6781,AES-KY,電子零組件業,89689740000.0,1050.0,854188000.0
6409,旭隼,電子工業,87812332000.0,995.0,882536000.0
1476,儒鴻,紡織纖維,87248737800.0,318.0,2743671000.0
2354,鴻準,其他電子業,85152009040.0,60.2,14144852000.0
1717,長興,化學工業,83932777800.0,71.6,11722455000.0
9945,潤泰新,其他,83620217940.0,29.4,28442251000.0
1513,中興電,電機機械,83516675000.0,166.0,5031125000.0
7610,聯友金屬-創,創新板股票,81866567500.0,1685.0,485855000.0
2385,群光,電子工業,81166447200.0,106.0,7657212000.0
3450,聯鈞,其他電子業,80270451400.0,551.0,1456814000.0
3006,晶豪科,半導體業,76469780700.0,256.5,2981278000.0
3023,信邦,電子工業,76461976500.0,318.5,2400690000.0
1229,聯華,食品工業,76148733680.0,42.4,17959607000.0
2637,慧洋-KY,航運業,76133738400.0,102.0,7464092000.0
6949,沛爾生醫-創,創新版股票,75745015500.0,1155.0,655801000.0
2855,統一證,金融保險,75426622950.0,47.1,16014145000.0
2455,全新,通信網路業,75071795400.0,406.0,1849059000.0
8039,台虹,電子工業,74354658000.0,282.0,2636690000.0
9904,寶成,其他,73669680000.0,25.0,29467872000.0
3406,玉晶光,光電業,73508501200.0,652.0,1127431000.0
3005,神基,電子工業,73074713400.0,117.0,6245702000.0
6691,洋基工程,其他電子業,72041909600.0,593.0,1214872000.0
6531,愛普*,半導體業,72030283500.0,883.0,815745000.0
